,X.x,kingdom,phylum,class,order,family,genus,scientific_name,sl_mm,sl_sex,sl_ref,tl_mm,tl_sex,tl_ref,fl_mm,fl_sex,fl_ref,dw_mm,dw_sex,dw_ref,max_weight_g,max_weight_ref,benthic,pelagic,benthopelagic,bathypelagic,pelagic.neritic,pelagic.oceanic,demersal,reef.associated,anadromous,catadromous,amphidromous,potamodromous,limnodromous,oceanodromous,non.migratory,freshwater,brackish,marine,use_fisheries,use_aquaculture,use_gamefish,use_bait,use_aquarium,use_ref,phylo_div,phylo_div_ref,troph_level,troph_level_se,troph_level_ref,resil,resil_ref,resil_K,resil_tm,resil_tmax,resil_fec,vulnerab,vulnerab_ref,price,price_ref,main_ref,IUCN_Status,Harvesting,Pollution,Energy_Production_and_Mining,Natural_System_Modification,Invasive_Species_and_Disease,Climate_Change,Development,Human_Disturbance,Transportation,Aquaculture_and_Agriculture,Other,Geological_Events
1,1,Animalia,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser gueldenstaedtii,NA,,NA,2350,male/unsexed,719,NA,,NA,NA,NA,NA,115000,6866,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,commercial,commercial,,,public aquariums,4537;4537;2059,0.5,82805,3.3,0.1,69278,more than 14 years,120179,,11,,,87,59153,unknown,80766,9953,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,Animalia,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser naccarii,NA,,NA,2000,male/unsexed,3397,NA,,NA,NA,NA,NA,25000,3193,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,commercial,,,,,26100,0.5,82805,3.4,0.5,69278,more than 14 years,120179,,,,,86,59153,unknown,80766,59043,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,Animalia,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser nudiventris,NA,,NA,2000,male/unsexed,3397,NA,,NA,NA,NA,NA,80000,52332,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,commercial,commercial,,,,4537,0.5,82805,3.3,0.45,69278,4.5 - 14 years,120179,0.04-0.12,,30,"165,000",85,59153,unknown,80766,3397,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,Animalia,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser stellatus,NA,,NA,2200,male/unsexed,9988,NA,,NA,NA,NA,NA,80000,9988,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,commercial,commercial,,,public aquariums,9988;12108;4537,0.5,82805,3.5,0.2,69278,4.5 - 14 years,120179,0.06,9,27,"20,000-360,000",64,59153,unknown,80766,3397,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,Animalia,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser sturio,NA,,NA,5000,male/unsexed,35387,NA,,NA,NA,NA,NA,120000,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,commercial,commercial,,,,;2196;274,0.5,82805,3.5,0.51,69278,more than 14 years,120179,,20-Jul,,,88,59153,unknown,80766,3397,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,Animalia,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Huso,Huso huso,NA,,NA,5000,male/unsexed,9988,NA,,NA,NA,NA,NA,2000,9988,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,commercial,commercial,,,public aquariums,9988;12108;4537,0.75,82805,4.4,0.3,69278,more than 14 years,120179,0.1,13-22,118,"360,000",89,59153,unknown,80766,59043,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,Animalia,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,NA,,NA,1330,,NA,NA,,NA,NA,NA,NA,"2,850.00",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,commercial,commercial,yes,,,4931;12108;4699;274,0.5,82805,3.6,0.3,69278,4.5 - 14 years,120179,0.1,30-Jun,,,64,59153,unknown,80766,172,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,8,Animalia,Chordata,Actinopteri,Anguilliformes,Chlopsidae,Chlopsis,Chlopsis bicolor,NA,,NA,420,male/unsexed,3250,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5002,82805,3.7,0.6,69278,,120179,,,,,22,59153,,NA,7251,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9,Animalia,Chordata,Actinopteri,Anguilliformes,Congridae,Ariosoma,Ariosoma balearicum,NA,,NA,350,male/unsexed,26999,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,minor commercial,,,,,,0.5,82805,3.9,0.7,69278,less than 15 months,120179,,,,,28,59153,medium,80766,3397,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,10,Animalia,Chordata,Actinopteri,Anguilliformes,Congridae,Bathyuroconger,Bathyuroconger vicinus,NA,,NA,880,male/unsexed,4453,NA,,NA,NA,NA,NA,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.75,82805,4.5,0.8,69278,1.4 - 4.4 years,120179,,,,,52,59153,,NA,4453,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
